s,C,C,1/m,1/m
Time,TC_Ceiling_F1,TC_F1_1_8,EXT_F1_1_8,EXT_DEVC_F1_2_3
 1.7700174E+002, 8.3927496E+001, 3.9937013E+001, 1.1441995E+000, 1.0737356E+000
 1.7800886E+002, 8.4677139E+001, 3.9932861E+001, 1.1055286E+000, 1.0927658E+000
 1.7900285E+002, 8.4088630E+001, 3.9804620E+001, 1.0987018E+000, 1.0969700E+000
 1.8000507E+002, 8.2723849E+001, 3.9746102E+001, 1.1502656E+000, 1.1219555E+000
 1.8100523E+002, 8.2053262E+001, 3.9922367E+001, 1.1730328E+000, 1.1290180E+000
 1.8200179E+002, 8.1216539E+001, 3.9965085E+001, 1.1713016E+000, 1.1251649E+000
 1.8300030E+002, 8.0572866E+001, 4.0130989E+001, 1.1788878E+000, 1.1417002E+000
 1.8400034E+002, 7.9326841E+001, 4.0448104E+001, 1.1745907E+000, 1.1325319E+000
 1.8500114E+002, 8.0977933E+001, 4.0733653E+001, 1.1465866E+000, 1.1505718E+000
 1.8600048E+002, 8.2086502E+001, 4.0878564E+001, 1.1779082E+000, 1.1613907E+000
 1.8700075E+002, 8.1307848E+001, 4.1053818E+001, 1.1654147E+000, 1.1576022E+000
 1.8800011E+002, 8.0293095E+001, 4.1210147E+001, 1.2051031E+000, 1.1561952E+000
 1.8900563E+002, 7.9248024E+001, 4.1506596E+001, 1.2184079E+000, 1.1601009E+000
 1.9000116E+002, 8.0026467E+001, 4.1865681E+001, 1.2229446E+000, 1.1672794E+000
 1.9100607E+002, 7.9067627E+001, 4.2171053E+001, 1.2002424E+000, 1.1762835E+000
 1.9200424E+002, 7.9183384E+001, 4.2001259E+001, 1.1848592E+000, 1.1709828E+000
 1.9300331E+002, 7.6992254E+001, 4.1986380E+001, 1.2380816E+000, 1.1857724E+000
 1.9400372E+002, 7.9182951E+001, 4.2045286E+001, 1.2491856E+000, 1.1893003E+000
 1.9500223E+002, 8.0748379E+001, 4.2114331E+001, 1.2424351E+000, 1.1986982E+000
 1.9600684E+002, 8.0696052E+001, 4.2218629E+001, 1.2388990E+000, 1.2023384E+000
 1.9700132E+002, 8.3133549E+001, 4.2318009E+001, 1.2505150E+000, 1.2061367E+000
 1.9800233E+002, 8.5073285E+001, 4.2386781E+001, 1.2440765E+000, 1.2120794E+000
 1.9900753E+002, 8.6796435E+001, 4.2512789E+001, 1.2458030E+000, 1.2170133E+000
 2.0000849E+002, 8.6656581E+001, 4.2620004E+001, 1.2602910E+000, 1.2156932E+000
 2.0100424E+002, 8.7505346E+001, 4.2742473E+001, 1.2667906E+000, 1.2209292E+000
 2.0200462E+002, 8.6753936E+001, 4.2680146E+001, 1.2744030E+000, 1.2370684E+000
 2.0300596E+002, 8.4942977E+001, 4.2670169E+001, 1.2825999E+000, 1.2375069E+000
 2.0400122E+002, 8.3892155E+001, 4.3012447E+001, 1.3025205E+000, 1.2415274E+000
 2.0500768E+002, 8.3491500E+001, 4.3501708E+001, 1.3138723E+000, 1.2497925E+000
 2.0600046E+002, 8.3792194E+001, 4.3672573E+001, 1.2988609E+000, 1.2583182E+000
 2.0700313E+002, 8.1815403E+001, 4.3680539E+001, 1.3035499E+000, 1.2618630E+000
 2.0800298E+002, 8.2115996E+001, 4.3636527E+001, 1.3036717E+000, 1.2626993E+000
 2.0901015E+002, 8.1983263E+001, 4.3404909E+001, 1.2915165E+000, 1.2767887E+000
 2.1000763E+002, 8.1964948E+001, 4.3593373E+001, 1.3112132E+000, 1.2848944E+000
 2.1100391E+002, 7.9747146E+001, 4.4041336E+001, 1.3150048E+000, 1.2726276E+000
 2.1200477E+002, 7.7700353E+001, 4.4095454E+001, 1.3070076E+000, 1.2863321E+000
 2.1300581E+002, 7.8476154E+001, 4.4185161E+001, 1.3380203E+000, 1.3070231E+000
 2.1400496E+002, 8.2003033E+001, 4.4645655E+001, 1.3542113E+000, 1.3149427E+000
 2.1500043E+002, 8.4925093E+001, 4.4968023E+001, 1.3630060E+000, 1.3171817E+000
 2.1600555E+002, 8.5327614E+001, 4.5238571E+001, 1.3749118E+000, 1.3084711E+000
 2.1700407E+002, 8.4563545E+001, 4.5397829E+001, 1.3712928E+000, 1.3075814E+000
 2.1800440E+002, 8.6177601E+001, 4.5541784E+001, 1.3598239E+000, 1.3156666E+000
 2.1900305E+002, 8.8359276E+001, 4.5783811E+001, 1.3645221E+000, 1.3101302E+000
 2.2000244E+002, 8.7645755E+001, 4.5894499E+001, 1.3863747E+000, 1.3253751E+000
 2.2100812E+002, 8.8595764E+001, 4.6047272E+001, 1.3995234E+000, 1.3119838E+000
 2.2200439E+002, 9.0448783E+001, 4.6141853E+001, 1.3914448E+000, 1.3252653E+000
 2.2300830E+002, 8.9292317E+001, 4.5948375E+001, 1.4014881E+000, 1.3361377E+000
 2.2400198E+002, 8.8948679E+001, 4.5714728E+001, 1.4168412E+000, 1.3448466E+000
 2.2500025E+002, 8.9899162E+001, 4.5652837E+001, 1.4177881E+000, 1.3523357E+000
 2.2600060E+002, 8.8731571E+001, 4.5570319E+001, 1.4251256E+000, 1.3708985E+000
 2.2700098E+002, 8.9134913E+001, 4.5188876E+001, 1.4180131E+000, 1.3696743E+000
 2.2800584E+002, 8.7062886E+001, 4.5094036E+001, 1.4574873E+000, 1.3719865E+000
 2.2900309E+002, 8.5197777E+001, 4.5217141E+001, 1.4685636E+000, 1.3898379E+000
 2.3000039E+002, 8.4243481E+001, 4.5157408E+001, 1.4592495E+000, 1.4007582E+000
 2.3100711E+002, 8.4149467E+001, 4.4859826E+001, 1.4442410E+000, 1.4034861E+000
 2.3200002E+002, 8.4183911E+001, 4.4703891E+001, 1.4324333E+000, 1.4102763E+000
 2.3300291E+002, 8.7077575E+001, 4.4699736E+001, 1.4382358E+000, 1.4158943E+000
 2.3400152E+002, 8.9417721E+001, 4.4935292E+001, 1.4651210E+000, 1.4216914E+000
 2.3500701E+002, 8.9767408E+001, 4.5091639E+001, 1.4667257E+000, 1.4275543E+000
 2.3600889E+002, 8.7764992E+001, 4.5199587E+001, 1.4676713E+000, 1.4209883E+000
 2.3700436E+002, 8.6895948E+001, 4.5401256E+001, 1.4579745E+000, 1.4385686E+000
 2.3800520E+002, 8.7815403E+001, 4.5336020E+001, 1.4607805E+000, 1.4402874E+000
 2.3900524E+002, 9.0452743E+001, 4.5538076E+001, 1.4847044E+000, 1.4305162E+000
 2.4000600E+002, 9.1006292E+001, 4.5753494E+001, 1.4865576E+000, 1.4443434E+000
 2.4100566E+002, 9.2804409E+001, 4.5754371E+001, 1.4554266E+000, 1.4503529E+000
 2.4200700E+002, 9.2918410E+001, 4.5544880E+001, 1.4642337E+000, 1.4432086E+000
 2.4300313E+002, 9.2166575E+001, 4.5665365E+001, 1.4962522E+000, 1.4617260E+000
 2.4400375E+002, 9.0259137E+001, 4.5713832E+001, 1.4955815E+000, 1.4713070E+000
 2.4500152E+002, 9.0287560E+001, 4.5558939E+001, 1.5062336E+000, 1.4762997E+000
 2.4600619E+002, 9.2604154E+001, 4.5616245E+001, 1.5205668E+000, 1.4908039E+000
 2.4700164E+002, 9.1502610E+001, 4.6006823E+001, 1.5418232E+000, 1.4927018E+000
 2.4800138E+002, 9.1346841E+001, 4.6235830E+001, 1.5386024E+000, 1.5049150E+000
 2.4900575E+002, 9.1587484E+001, 4.6006648E+001, 1.5461580E+000, 1.5036260E+000
 2.5000155E+002, 9.2230373E+001, 4.5826833E+001, 1.5621769E+000, 1.5157667E+000
 2.5100689E+002, 9.1474135E+001, 4.5749722E+001, 1.5638762E+000, 1.5235486E+000
 2.5200749E+002, 9.0638833E+001, 4.5744142E+001, 1.5591979E+000, 1.5155723E+000
 2.5300705E+002, 9.1000946E+001, 4.5720213E+001, 1.5549263E+000, 1.5139157E+000
 2.5400454E+002, 9.1353736E+001, 4.5601863E+001, 1.5575025E+000, 1.5337501E+000
 2.5500828E+002, 9.3156554E+001, 4.5555319E+001, 1.5671987E+000, 1.5292484E+000
 2.5600644E+002, 9.4258955E+001, 4.5614669E+001, 1.5692668E+000, 1.5240460E+000
 2.5700708E+002, 9.5849846E+001, 4.5860927E+001, 1.5828578E+000, 1.5399478E+000
 2.5800487E+002, 9.7815432E+001, 4.6160558E+001, 1.5845312E+000, 1.5415245E+000
 2.5900590E+002, 9.6025482E+001, 4.6260614E+001, 1.5800615E+000, 1.5381890E+000
 2.6000229E+002, 9.6056671E+001, 4.6132466E+001, 1.5904558E+000, 1.5368255E+000
 2.6100099E+002, 9.5122216E+001, 4.6626806E+001, 1.6037919E+000, 1.5454651E+000
 2.6200658E+002, 9.4262151E+001, 4.6813341E+001, 1.5798360E+000, 1.5532465E+000
 2.6300536E+002, 9.5583741E+001, 4.6912045E+001, 1.6268250E+000, 1.5795588E+000
 2.6400487E+002, 9.5598882E+001, 4.7230991E+001, 1.6392156E+000, 1.5993757E+000
 2.6500752E+002, 9.5443977E+001, 4.7065666E+001, 1.6133409E+000, 1.6203882E+000
 2.6600269E+002, 9.6244444E+001, 4.6946263E+001, 1.6448592E+000, 1.6155033E+000
 2.6700788E+002, 9.7350327E+001, 4.7337658E+001, 1.6460496E+000, 1.6140438E+000
 2.6800601E+002, 9.5684369E+001, 4.7651447E+001, 1.6452650E+000, 1.6239516E+000
 2.6900172E+002, 9.4443077E+001, 4.7519313E+001, 1.6376685E+000, 1.6295810E+000
 2.7000518E+002, 9.1646979E+001, 4.7413785E+001, 1.6398395E+000, 1.6223645E+000
